event_id,year,month,state,event_type,cz_type,deaths_direct,deaths_indirect,injuries_direct,injuries_indirect,damage_property_usd,damage_crops_usd,magnitude,magnitude_type,tor_f_scale,begin_lat,begin_lon,duration_hours,state_population,state_real_gdp_musd
939867,2021,1,Iowa,Winter Storm,Z,0,0,0,0,0.0,0.0,,,,,,23.0,3199037.0,202470.6
939910,2021,1,Pennsylvania,Winter Weather,Z,0,0,0,0,0.0,0.0,,,,,,20.0,13016628.0,766140.0
939953,2021,1,Minnesota,Blizzard,Z,0,0,0,0,0.0,0.0,,,,,,26.5,5714055.0,377975.8
939961,2021,1,Oklahoma,High Wind,Z,0,0,0,0,,,40.0,MS,,,,4.17,3992760.0,194991.2
939967,2021,1,Texas,High Wind,Z,0,0,0,0,0.0,0.0,37.0,MS,,,,1.02,29572672.0,1905512.4
939980,2021,1,Texas,Drought,Z,0,0,0,0,,,,,,,,743.98,29572672.0,1905512.4
939983,2021,1,Oklahoma,Dust Storm,Z,0,0,0,0,,,,,,,,0.5,3992760.0,194991.2
940010,2021,1,Oregon,High Wind,Z,0,0,0,0,,,60.0,MG,,,,6.75,4254691.0,250919.9
940018,2021,1,Oregon,Thunderstorm Wind,C,0,0,0,0,,,70.0,MG,,44.92,-123.47,1.0,4254691.0,250919.9
940171,2021,1,Kansas,High Wind,Z,0,0,0,0,,0.0,54.0,MG,,,,36.83,2938966.0,170401.2
940332,2021,1,California,High Wind,Z,0,0,0,0,,,70.0,MG,,,,26.0,39152927.0,3151112.5
940334,2021,1,California,High Wind,Z,0,0,1,0,,,70.0,MG,,,,26.0,39152927.0,3151112.5
940451,2021,1,Nebraska,Wildfire,Z,0,0,0,0,2000.0,0.0,,,,,,7.57,1964697.0,135166.4
940514,2021,1,Maine,Coastal Flood,Z,0,0,0,0,125000.0,0.0,,,,,,2.0,1379009.0,71353.5
940612,2021,1,California,Winter Weather,Z,0,0,0,2,,0.0,,,,,,12.0,39152927.0,3151112.5
940709,2021,1,Missouri,Winter Storm,Z,0,0,0,0,,,,,,,,13.0,6172551.0,331578.0
940714,2021,1,Missouri,Winter Storm,Z,0,0,0,0,,,,,,,,13.0,6172551.0,331578.0
940765,2021,1,North Carolina,Winter Storm,Z,0,0,0,0,0.0,0.0,,,,,,15.0,10565503.0,599293.8
940786,2021,1,Texas,Drought,Z,0,0,0,0,0.0,0.0,,,,,,263.98,29572672.0,1905512.4
940801,2021,1,Kentucky,Winter Weather,Z,0,0,0,0,,,,,,,,9.0,4508348.0,215535.0
940829,2021,1,Ohio,Winter Weather,Z,0,0,0,0,,,,,,,,24.0,11761443.0,691630.0
940832,2021,1,Ohio,Winter Weather,Z,0,0,0,0,,,,,,,,24.0,11761443.0,691630.0
940835,2021,1,Ohio,Winter Weather,Z,0,0,0,0,,,,,,,,24.0,11761443.0,691630.0
940843,2021,1,Ohio,Winter Weather,Z,0,0,0,0,,,,,,,,24.0,11761443.0,691630.0
940859,2021,1,Ohio,Winter Weather,Z,0,0,0,0,0.0,0.0,,,,,,23.0,11761443.0,691630.0
941010,2021,1,Kansas,High Wind,Z,0,0,0,0,,,52.0,MG,,,,0.0,2938966.0,170401.2
941013,2021,1,Kansas,High Wind,Z,0,0,0,0,,,53.0,MG,,,,0.0,2938966.0,170401.2
